,age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,y,id,outliers
31669,33,0,1,0,0,1,0,0,3,3,1,999,0,0,-1.8,92.893,-46.2,1.266,1,34592,1
20720,44,3,1,2,0,0,0,0,4,3,1,999,0,0,1.4,93.444,-36.1,4.964,1,20970,1
7151,36,0,1,0,0,1,1,1,3,3,3,999,0,0,1.1,93.994,-36.4,4.86,1,7258,1
2802,35,2,1,0,0,0,0,1,3,1,1,999,0,0,1.1,93.994,-36.4,4.859,1,2864,1
6754,43,0,0,5,0,0,1,1,3,1,5,999,0,0,1.1,93.994,-36.4,4.857,1,6856,1
4446,52,3,1,3,0,0,0,1,3,2,2,999,0,0,1.1,93.994,-36.4,4.856,1,4529,1
943,33,8,0,1,0,1,0,1,3,1,2,999,0,0,1.1,93.994,-36.4,4.856,1,971,1
33024,47,8,1,4,0,0,0,0,5,2,1,999,0,0,-2.9,92.963,-40.8,1.262,1,36379,1
28271,51,3,2,3,0,0,1,0,1,0,5,999,0,0,-1.8,93.075,-47.1,1.405,1,29760,1
29366,39,3,1,3,0,0,1,0,3,1,1,999,0,0,-1.8,92.893,-46.2,1.334,1,31173,1
17693,45,0,1,0,0,0,0,0,2,2,2,999,0,0,1.4,93.918,-42.7,4.961,1,17923,1
24076,46,8,2,0,0,1,0,1,8,0,2,999,0,0,-0.1,93.2,-42.0,4.191,1,24407,1
3315,34,2,0,1,0,0,0,1,3,3,4,999,0,0,1.1,93.994,-36.4,4.86,1,3383,1
24057,52,8,1,0,0,1,1,0,8,0,1,999,0,0,-0.1,93.2,-42.0,4.191,1,24383,1
25377,50,8,1,2,0,0,0,0,8,1,5,999,0,0,-0.1,93.2,-42.0,4.12,1,26072,1
10076,39,0,1,0,0,0,0,1,5,0,3,999,0,0,1.4,94.465,-41.8,4.96,1,10226,1
18560,45,2,1,4,0,0,0,0,2,3,22,999,0,0,1.4,93.918,-42.7,4.968,1,18794,1
30250,43,3,1,2,0,1,0,0,3,4,3,999,0,0,-1.8,92.893,-46.2,1.3130000000000002,1,32482,1
11269,45,3,1,4,0,1,0,1,5,4,3,999,0,0,1.4,94.465,-41.8,4.959,1,11436,1
34465,54,8,2,0,0,1,0,0,0,3,1,999,0,0,-3.4,92.431,-26.9,0.754,1,38177,1
32291,52,0,2,4,0,1,0,1,3,0,1,999,0,0,-1.8,92.893,-46.2,1.244,1,35477,1
1153,38,1,0,0,0,0,0,1,3,3,1,999,0,0,1.1,93.994,-36.4,4.855,1,1186,1
33683,37,0,1,0,0,0,0,0,4,3,1,999,0,0,-2.9,92.201,-31.4,0.883,1,37168,1
28902,55,2,1,4,0,0,0,0,3,0,1,999,0,0,-1.8,92.893,-46.2,1.354,1,30521,1
13215,41,10,0,5,0,0,0,0,2,1,1,999,0,0,1.4,93.918,-42.7,4.962,1,13410,1
22969,47,0,1,0,0,1,0,0,4,2,3,999,0,0,1.4,93.444,-36.1,4.965,1,23236,1
15948,35,3,1,0,0,0,0,0,2,2,2,999,0,0,1.4,93.918,-42.7,4.961,1,16156,1
20888,30,0,1,0,0,0,0,0,4,0,2,999,0,0,1.4,93.444,-36.1,4.963,1,21140,1
25554,31,0,0,0,0,0,0,0,8,3,1,999,0,0,-0.1,93.2,-42.0,4.0760000000000005,1,26280,1
6653,28,8,0,0,0,0,0,1,3,1,4,999,0,0,1.1,93.994,-36.4,4.857,1,6754,1
139,53,3,1,3,0,1,0,1,3,0,1,999,0,0,1.1,93.994,-36.4,4.857,1,143,1
11025,41,3,1,3,0,1,0,1,5,3,3,999,0,0,1.4,94.465,-41.8,4.961,1,11189,1
22779,49,3,1,3,0,0,1,0,4,2,5,999,0,0,1.4,93.444,-36.1,4.965,1,23044,1
29344,46,3,1,2,0,0,0,0,3,1,1,999,0,0,-1.8,92.893,-46.2,1.334,1,31132,1
27840,43,3,1,2,0,1,0,0,1,4,4,999,0,0,-1.8,93.075,-47.1,1.405,1,29175,1
13801,31,3,1,2,0,0,0,0,2,4,2,999,0,0,1.4,93.918,-42.7,4.963,1,13999,1
20140,33,2,1,5,0,1,0,0,4,2,1,999,0,0,1.4,93.444,-36.1,4.966,1,20385,1
12954,43,9,1,3,0,1,0,0,2,1,1,999,0,0,1.4,93.918,-42.7,4.962,1,13146,1
13937,26,3,0,5,0,1,1,0,2,0,2,999,0,0,1.4,93.918,-42.7,4.962,1,14136,1
13388,32,4,1,5,0,0,0,0,2,3,1,999,0,0,1.4,93.918,-42.7,4.963,1,13584,1
31643,31,4,0,0,0,1,0,0,3,3,1,999,0,0,-1.8,92.893,-46.2,1.266,1,34553,1
4397,58,7,1,3,0,0,0,1,3,2,1,999,0,0,1.1,93.994,-36.4,4.856,0,4479,1
34298,31,0,0,0,0,1,0,0,7,4,7,999,0,0,-3.4,92.379,-29.8,0.8029999999999999,1,37965,1
26113,55,0,1,4,0,1,1,0,8,3,2,999,0,0,-0.1,93.2,-42.0,4.0760000000000005,1,26949,1
34701,63,2,1,1,0,0,0,0,0,2,1,999,0,0,-3.4,92.431,-26.9,0.728,1,38485,1
22910,33,0,1,0,0,0,0,0,4,2,2,999,0,0,1.4,93.444,-36.1,4.965,1,23176,1
23283,46,2,1,1,0,0,0,0,4,3,2,999,0,0,1.4,93.444,-36.1,4.962,1,23551,1
36329,30,0,0,5,0,0,0,0,7,4,3,6,1,1,-1.1,94.199,-37.5,0.883,0,40610,1
25324,43,0,1,0,0,0,0,0,8,1,2,999,0,0,-0.1,93.2,-42.0,4.12,1,26008,1
10997,55,0,1,5,0,1,0,1,5,3,1,999,0,0,1.4,94.465,-41.8,4.961,1,11160,1
13202,33,3,1,2,0,0,0,1,2,1,1,999,0,0,1.4,93.918,-42.7,4.962,1,13397,1
26732,70,7,2,3,0,1,0,0,6,0,3,999,0,0,-1.8,92.843,-50.0,1.811,0,27713,1
28437,41,2,1,0,0,0,0,0,1,2,1,999,0,0,-1.8,93.075,-47.1,1.405,1,29983,1
269,32,0,0,5,0,0,0,1,3,0,2,999,0,0,1.1,93.994,-36.4,4.857,1,273,1
25449,53,3,2,3,0,1,0,0,8,1,5,999,0,0,-0.1,93.2,-42.0,4.12,1,26161,1
4477,32,5,1,2,0,0,0,1,3,2,8,999,0,0,1.1,93.994,-36.4,4.856,1,4560,1
20759,53,0,1,5,0,0,0,0,4,3,1,999,0,0,1.4,93.444,-36.1,4.964,1,21010,1
36279,27,0,1,5,0,1,0,1,4,0,1,999,0,0,-1.7,94.027,-38.3,0.888,1,40540,1
3726,28,4,0,4,0,1,0,1,3,4,2,999,0,0,1.1,93.994,-36.4,4.859,1,3799,1
33302,45,0,1,0,0,0,0,0,5,4,2,999,0,0,-2.9,92.963,-40.8,1.268,0,36715,1
6569,33,3,0,4,0,0,0,1,3,1,2,999,0,0,1.1,93.994,-36.4,4.857,1,6670,1
14580,45,10,1,2,0,0,0,0,2,1,2,999,0,0,1.4,93.918,-42.7,4.957,1,14781,1
4075,60,0,1,1,0,1,0,1,3,0,2,999,0,0,1.1,93.994,-36.4,4.8580000000000005,1,4153,1
16507,26,3,0,1,0,1,0,0,2,1,2,999,0,0,1.4,93.918,-42.7,4.963,1,16718,1
25795,45,10,1,4,0,1,0,0,8,3,5,999,0,0,-0.1,93.2,-42.0,4.0760000000000005,1,26568,1
36517,50,8,1,0,0,1,0,0,0,4,2,999,0,0,-1.1,94.601,-49.5,0.942,1,40856,1
14053,32,10,1,5,0,1,0,0,2,0,3,999,0,0,1.4,93.918,-42.7,4.962,1,14252,1
8242,28,6,0,0,0,0,0,1,5,2,5,999,0,0,1.4,94.465,-41.8,4.864,1,8363,1
5159,42,0,2,0,0,0,0,1,3,4,1,999,0,0,1.1,93.994,-36.4,4.857,1,5248,1
11322,42,3,1,2,0,0,0,1,5,4,2,999,0,0,1.4,94.465,-41.8,4.959,0,11492,1
29492,38,3,1,5,0,0,0,0,3,1,1,6,1,1,-1.8,92.893,-46.2,1.334,1,31349,1
3984,24,2,0,1,0,0,0,1,3,0,4,999,0,0,1.1,93.994,-36.4,4.8580000000000005,1,4061,1
3522,59,3,1,3,0,0,0,1,3,4,1,999,0,0,1.1,93.994,-36.4,4.859,1,3591,1
36667,65,7,1,3,0,0,0,0,0,1,1,999,0,0,-1.1,94.601,-49.5,1.043,0,41052,1
24973,29,9,0,5,0,0,0,0,8,1,1,999,0,0,-0.1,93.2,-42.0,4.12,0,25567,1
31951,47,3,1,5,0,1,0,0,3,4,1,999,0,0,-1.8,92.893,-46.2,1.25,1,35000,1
36193,56,3,2,3,0,1,0,1,4,0,1,12,4,2,-1.7,94.027,-38.3,0.904,1,40438,1
15880,46,3,1,3,0,1,0,0,2,2,1,999,0,0,1.4,93.918,-42.7,4.961,1,16088,1
26699,46,5,0,1,0,1,0,1,8,3,1,999,0,0,-0.1,93.2,-42.0,3.879,1,27678,1
21215,33,2,0,1,0,1,0,0,4,2,1,999,0,0,1.4,93.444,-36.1,4.963,1,21468,1
17617,51,3,2,4,0,1,0,0,2,2,6,999,0,0,1.4,93.918,-42.7,4.961,1,17846,1
10437,34,8,1,0,0,1,0,1,5,2,2,999,0,0,1.4,94.465,-41.8,4.961,1,10593,1
4916,47,3,1,2,0,0,0,1,3,1,3,999,0,0,1.1,93.994,-36.4,4.8580000000000005,1,5003,1
27462,51,5,1,6,0,1,0,0,1,3,3,999,0,0,-1.8,93.075,-47.1,1.41,0,28627,1
10630,36,0,0,5,0,1,0,1,5,2,7,999,0,0,1.4,94.465,-41.8,4.961,1,10788,1
13542,42,3,1,4,0,1,0,0,2,3,3,999,0,0,1.4,93.918,-42.7,4.963,1,13738,1
18937,34,3,1,1,0,0,1,0,4,2,4,999,0,0,1.4,93.444,-36.1,4.968,1,19174,1
25146,46,3,1,3,0,1,0,0,8,1,2,999,0,0,-0.1,93.2,-42.0,4.12,1,25780,1
4555,42,3,2,3,0,0,0,1,3,1,1,999,0,0,1.1,93.994,-36.4,4.8580000000000005,1,4638,1
900,53,2,1,5,0,1,0,1,3,1,2,999,0,0,1.1,93.994,-36.4,4.856,1,926,1
31493,54,3,1,4,0,0,1,0,3,3,1,999,0,0,-1.8,92.893,-46.2,1.266,1,34341,1
33563,26,4,0,5,0,1,0,0,2,2,1,13,1,1,-2.9,92.469,-33.6,1.044,0,37021,1
28168,45,4,1,3,0,0,0,0,1,0,3,999,0,0,-1.8,93.075,-47.1,1.405,1,29618,1
12709,26,3,1,4,0,0,0,1,2,2,2,999,0,0,1.4,93.918,-42.7,4.962,1,12896,1
12388,31,0,1,0,0,1,0,0,2,0,1,999,0,0,1.4,93.918,-42.7,4.96,1,12573,1
25587,31,0,0,0,0,0,0,0,8,3,1,999,0,0,-0.1,93.2,-42.0,4.0760000000000005,1,26319,1
1741,32,7,1,5,0,0,0,1,3,4,3,999,0,0,1.1,93.994,-36.4,4.855,1,1777,1
5717,43,4,1,5,0,0,0,1,3,0,2,999,0,0,1.1,93.994,-36.4,4.857,1,5812,1
21692,40,2,1,0,0,1,0,0,4,1,2,999,0,0,1.4,93.444,-36.1,4.964,1,21948,1
5704,42,10,1,5,0,0,0,1,3,0,3,999,0,0,1.1,93.994,-36.4,4.857,1,5799,1
18791,45,9,1,3,0,1,0,0,4,2,1,999,0,0,1.4,93.444,-36.1,4.968,1,19027,1
19271,41,0,0,0,0,1,0,0,4,3,3,999,0,0,1.4,93.444,-36.1,4.968,0,19512,1
753,33,3,1,4,0,0,0,1,3,1,3,999,0,0,1.1,93.994,-36.4,4.856,1,777,1
25607,56,0,2,0,0,1,0,0,8,3,2,999,0,0,-0.1,93.2,-42.0,4.0760000000000005,1,26348,1
15106,35,3,1,4,0,0,0,0,2,4,3,999,0,0,1.4,93.918,-42.7,4.957,1,15310,1
19718,31,2,1,0,0,0,0,0,4,4,3,999,0,0,1.4,93.444,-36.1,4.966,1,19963,1
35610,33,2,1,1,0,1,1,0,3,4,2,999,0,0,-1.8,93.876,-40.0,0.684,1,39679,1
19467,44,1,1,0,0,0,0,0,4,3,3,999,0,0,1.4,93.444,-36.1,4.968,1,19710,1
18682,46,3,1,5,0,0,0,0,4,0,1,999,0,0,1.4,93.444,-36.1,4.97,1,18918,1
33354,25,1,0,0,0,1,0,0,5,4,5,999,0,0,-2.9,92.963,-40.8,1.268,1,36773,1
26392,55,0,1,5,0,0,0,0,8,4,1,999,0,0,-0.1,93.2,-42.0,4.021,1,27292,1
31760,37,2,1,5,0,0,1,0,3,3,6,999,0,0,-1.8,92.893,-46.2,1.266,1,34715,1
15346,32,5,0,0,0,0,0,0,2,4,2,999,0,0,1.4,93.918,-42.7,4.957,1,15552,1
35259,29,0,0,0,0,1,0,0,6,0,1,999,0,0,-1.8,93.369,-34.8,0.652,0,39205,1
35265,36,0,0,0,0,0,0,0,6,0,1,999,0,0,-1.8,93.369,-34.8,0.652,0,39212,1
9070,47,3,0,3,0,1,0,1,5,4,1,999,0,0,1.4,94.465,-41.8,4.967,1,9201,1
15827,31,0,0,0,0,1,0,0,2,2,1,999,0,0,1.4,93.918,-42.7,4.961,1,16035,1
32264,22,2,0,5,0,1,0,0,3,0,5,999,0,0,-1.8,92.893,-46.2,1.244,1,35443,1
35108,29,6,0,5,0,0,0,0,9,1,1,999,0,0,-3.0,92.713,-33.0,0.715,1,39005,1
21176,36,0,1,0,0,1,0,0,4,2,4,999,0,0,1.4,93.444,-36.1,4.963,1,21429,1
21662,30,2,0,0,0,1,0,0,4,1,1,999,0,0,1.4,93.444,-36.1,4.964,1,21918,1
34954,26,6,0,0,0,0,0,0,8,4,1,7,1,1,-3.4,92.649,-30.1,0.7140000000000001,0,38804,1
11857,39,1,2,1,0,1,0,1,5,3,4,999,0,0,1.4,94.465,-41.8,4.955,1,12035,1
4677,36,8,1,0,0,1,0,1,3,1,2,999,0,0,1.1,93.994,-36.4,4.8580000000000005,1,4760,1
33858,26,6,0,4,0,0,0,1,4,1,1,999,0,0,-2.9,92.201,-31.4,0.879,1,37392,1
10751,34,0,0,5,0,0,1,1,5,1,1,999,0,0,1.4,94.465,-41.8,4.962,1,10910,1
6700,33,0,2,0,0,0,0,1,3,1,2,999,0,0,1.1,93.994,-36.4,4.857,1,6801,1
11852,34,0,0,0,0,0,0,1,5,3,2,999,0,0,1.4,94.465,-41.8,4.955,1,12030,1
23677,35,2,2,1,0,1,1,0,4,4,3,999,0,0,1.4,93.444,-36.1,4.963,1,23951,1
31658,26,0,0,0,0,0,0,1,3,3,2,999,0,0,-1.8,92.893,-46.2,1.266,1,34577,1
3003,29,10,0,0,0,0,1,1,3,1,2,999,0,0,1.1,93.994,-36.4,4.859,1,3065,1
12271,30,4,1,5,0,1,0,0,2,0,4,999,0,0,1.4,93.918,-42.7,4.96,1,12453,1
22726,50,3,1,1,0,1,0,0,4,0,8,999,0,0,1.4,93.444,-36.1,4.965,1,22990,1
18742,30,0,1,0,0,0,1,0,4,0,2,999,0,0,1.4,93.444,-36.1,4.97,1,18978,1
22204,47,0,2,0,0,1,0,0,4,4,2,999,0,0,1.4,93.444,-36.1,4.964,1,22465,1
27880,44,0,0,0,0,1,0,0,1,4,2,999,0,0,-1.8,93.075,-47.1,1.405,1,29231,1
26551,40,8,0,0,0,0,0,0,8,4,3,999,0,0,-0.1,93.2,-42.0,4.021,1,27498,1
34912,33,0,1,0,0,1,0,1,8,1,1,3,1,1,-3.4,92.649,-30.1,0.715,0,38756,1
7243,32,3,0,4,0,0,0,1,3,4,1,999,0,0,1.1,93.994,-36.4,4.864,1,7351,1
34247,28,8,0,0,0,1,0,0,7,2,1,999,0,0,-3.4,92.379,-29.8,0.8190000000000001,1,37900,1
278,53,0,1,4,0,0,0,1,3,0,3,999,0,0,1.1,93.994,-36.4,4.857,1,282,1
20390,32,2,0,0,0,1,1,0,4,1,2,999,0,0,1.4,93.444,-36.1,4.965,1,20637,1
28811,56,5,1,0,0,1,0,0,1,3,1,999,0,0,-1.8,93.075,-47.1,1.365,0,30414,1
10691,30,3,1,2,0,0,0,1,5,1,4,999,0,0,1.4,94.465,-41.8,4.962,1,10850,1
19772,43,0,1,0,0,0,0,0,4,4,3,999,0,0,1.4,93.444,-36.1,4.966,1,20017,1
19199,46,8,1,5,0,1,1,0,4,1,3,999,0,0,1.4,93.444,-36.1,4.967,0,19440,1
35743,30,1,1,0,0,1,0,0,5,0,1,999,0,0,-1.7,94.055,-39.8,0.72,0,39848,1
13470,27,2,1,1,0,0,0,0,2,3,9,999,0,0,1.4,93.918,-42.7,4.963,1,13666,1
25643,35,2,1,0,0,1,0,0,8,3,1,999,0,0,-0.1,93.2,-42.0,4.0760000000000005,1,26388,1
27201,37,2,1,0,0,1,0,1,1,1,1,999,0,0,-1.8,93.075,-47.1,1.445,1,28286,1
33257,27,0,0,0,0,1,0,0,5,4,1,999,0,0,-2.9,92.963,-40.8,1.268,1,36664,1
19707,38,0,1,0,0,1,0,0,4,4,7,999,0,0,1.4,93.444,-36.1,4.966,1,19952,1
17954,35,6,0,0,0,0,0,0,2,1,2,999,0,0,1.4,93.918,-42.7,4.963,1,18187,1
23231,31,0,0,0,0,0,0,0,4,3,3,999,0,0,1.4,93.444,-36.1,4.962,1,23499,1
2025,26,1,1,0,0,0,0,1,3,0,1,999,0,0,1.1,93.994,-36.4,4.857,1,2069,1
5560,40,0,0,0,0,1,1,1,3,0,2,999,0,0,1.1,93.994,-36.4,4.857,1,5655,1
16895,52,0,1,5,0,0,0,0,2,4,1,999,0,0,1.4,93.918,-42.7,4.962,1,17111,1
3731,47,3,1,3,0,0,0,1,3,4,2,999,0,0,1.1,93.994,-36.4,4.859,1,3804,1
9769,57,3,1,3,0,0,0,1,5,1,2,999,0,0,1.4,94.465,-41.8,4.959,0,9914,1
35128,64,9,1,3,0,0,0,0,9,3,1,999,0,0,-3.0,92.713,-33.0,0.7140000000000001,0,39028,1
28211,56,9,1,3,0,1,0,0,1,0,1,999,0,0,-1.8,93.075,-47.1,1.405,0,29676,1
21881,34,2,1,1,0,1,0,0,4,3,4,999,0,0,1.4,93.444,-36.1,4.963,1,22139,1
6191,42,2,0,5,0,0,0,1,3,2,6,999,0,0,1.1,93.994,-36.4,4.857,1,6287,1
20863,54,0,2,0,0,0,0,0,4,0,2,999,0,0,1.4,93.444,-36.1,4.963,1,21115,1
6236,48,3,2,3,0,0,0,1,3,2,2,999,0,0,1.1,93.994,-36.4,4.857,1,6333,1
34868,22,6,0,1,0,0,0,0,8,0,3,999,0,0,-3.4,92.649,-30.1,0.715,0,38696,1
4992,46,0,2,5,0,0,0,1,3,4,1,999,0,0,1.1,93.994,-36.4,4.857,1,5079,1
27356,57,2,1,1,0,1,0,0,1,2,1,999,0,0,-1.8,93.075,-47.1,1.423,1,28494,1
32494,24,3,0,4,0,1,0,0,3,0,3,999,0,0,-1.8,92.893,-46.2,1.244,1,35732,1
28492,60,3,1,1,0,1,0,0,1,1,1,999,0,0,-1.8,93.075,-47.1,1.405,0,30047,1
195,43,3,1,2,0,1,0,1,3,0,1,999,0,0,1.1,93.994,-36.4,4.857,1,199,1
13064,41,3,1,3,0,1,0,1,2,1,1,999,0,0,1.4,93.918,-42.7,4.962,1,13256,1
27141,46,2,1,2,0,0,0,0,1,2,1,999,0,0,-1.8,93.075,-47.1,1.453,1,28206,1
16272,46,4,1,5,0,1,0,0,2,1,1,999,0,0,1.4,93.918,-42.7,4.963,1,16481,1
2265,38,8,1,4,0,1,0,1,3,2,1,999,0,0,1.1,93.994,-36.4,4.856,0,2315,1
16957,45,0,2,5,0,1,0,0,2,4,2,999,0,0,1.4,93.918,-42.7,4.962,1,17173,1
321,26,0,0,0,0,1,0,1,3,0,3,999,0,0,1.1,93.994,-36.4,4.857,1,326,1
33004,32,0,1,0,0,1,1,0,5,2,1,999,0,0,-2.9,92.963,-40.8,1.262,0,36352,1
12646,26,8,0,0,0,1,0,0,2,2,1,999,0,0,1.4,93.918,-42.7,4.962,1,12832,1
30699,59,4,2,2,0,1,0,0,3,2,1,999,0,0,-1.8,92.893,-46.2,1.291,1,33162,1
1827,54,8,1,3,0,0,0,1,3,4,9,999,0,0,1.1,93.994,-36.4,4.855,1,1866,1
12217,27,3,1,4,0,1,1,0,2,0,3,999,0,0,1.4,93.918,-42.7,4.96,1,12399,1
9606,54,8,1,0,0,0,0,1,5,0,13,999,0,0,1.4,94.465,-41.8,4.961,1,9750,1
21005,30,2,1,1,0,1,0,0,4,0,4,999,0,0,1.4,93.444,-36.1,4.963,1,21258,1
12366,35,2,1,4,0,1,0,0,2,0,1,999,0,0,1.4,93.918,-42.7,4.96,1,12551,1
26483,33,1,1,0,0,1,0,0,8,4,2,999,0,0,-0.1,93.2,-42.0,4.021,1,27411,1
140,38,0,2,5,0,1,0,1,3,0,1,999,0,0,1.1,93.994,-36.4,4.857,1,144,1
16741,47,2,2,5,0,1,0,0,2,3,3,999,0,0,1.4,93.918,-42.7,4.962,1,16956,1
9325,49,0,0,5,0,1,0,1,5,4,1,999,0,0,1.4,94.465,-41.8,4.967,1,9467,1
21095,38,2,1,1,0,0,0,0,4,0,2,999,0,0,1.4,93.444,-36.1,4.963,1,21348,1
29692,34,10,0,0,0,1,0,0,3,3,1,999,0,0,-1.8,92.893,-46.2,1.327,1,31660,1
14857,43,2,0,0,0,1,0,0,2,3,1,999,0,0,1.4,93.918,-42.7,4.958,1,15060,1
10545,50,5,1,0,0,0,0,1,5,2,2,999,0,0,1.4,94.465,-41.8,4.961,1,10702,1
6129,40,3,1,2,0,1,0,1,3,2,1,999,0,0,1.1,93.994,-36.4,4.857,1,6225,1
16613,53,5,1,0,0,1,0,0,2,3,1,999,0,0,1.4,93.918,-42.7,4.962,1,16825,1
11776,30,4,1,5,0,1,0,1,5,2,5,999,0,0,1.4,94.465,-41.8,4.958,1,11952,1
6359,37,0,2,0,0,1,0,1,3,1,2,999,0,0,1.1,93.994,-36.4,4.857,1,6458,1
25380,49,0,0,4,0,1,1,0,8,1,2,999,0,0,-0.1,93.2,-42.0,4.12,1,26075,1
16344,50,9,1,4,0,1,0,0,2,1,2,999,0,0,1.4,93.918,-42.7,4.963,1,16554,1
24403,56,1,2,5,0,0,0,0,8,2,1,999,0,0,-0.1,93.2,-42.0,4.1530000000000005,1,24828,1
26594,51,4,0,5,0,0,0,0,8,4,4,999,0,0,-0.1,93.2,-42.0,4.021,1,27547,1
9948,38,2,0,0,0,0,0,1,5,3,1,999,0,0,1.4,94.465,-41.8,4.958,1,10096,1
36560,65,7,1,3,0,1,1,0,0,0,1,3,1,1,-1.1,94.601,-49.5,0.977,0,40913,1
18057,35,3,1,3,0,0,0,0,2,1,8,999,0,0,1.4,93.918,-42.7,4.963,1,18290,1
9131,45,10,1,3,0,1,1,1,5,4,1,999,0,0,1.4,94.465,-41.8,4.967,1,9266,1
17866,37,3,1,2,0,0,0,0,2,1,1,999,0,0,1.4,93.918,-42.7,4.963,1,18098,1
16604,31,5,0,0,0,1,0,0,2,3,1,999,0,0,1.4,93.918,-42.7,4.962,1,16816,1
28586,53,0,0,0,0,0,0,0,1,3,1,2,1,1,-1.8,93.075,-47.1,1.365,0,30149,1
5381,57,2,1,1,0,0,0,1,3,4,7,999,0,0,1.1,93.994,-36.4,4.857,1,5473,1
13124,37,3,1,2,0,1,0,0,2,1,1,999,0,0,1.4,93.918,-42.7,4.962,1,13319,1
26149,32,0,1,0,0,0,0,0,8,3,4,999,0,0,-0.1,93.2,-42.0,4.0760000000000005,1,26989,1
30363,52,4,1,5,0,1,0,1,3,0,1,999,0,0,-1.8,92.893,-46.2,1.2990000000000002,1,32655,1
9107,58,4,1,3,0,1,0,1,5,4,1,999,0,0,1.4,94.465,-41.8,4.967,1,9241,1
17358,49,8,1,0,0,1,0,1,2,0,12,999,0,0,1.4,93.918,-42.7,4.962,1,17582,1
9955,50,5,1,4,0,1,0,1,5,3,1,999,0,0,1.4,94.465,-41.8,4.958,1,10103,1
12032,31,4,0,5,0,0,0,1,2,1,1,999,0,0,1.4,93.918,-42.7,4.956,1,12211,1
30411,27,2,0,4,0,0,1,0,3,0,1,12,1,1,-1.8,92.893,-46.2,1.2990000000000002,0,32728,1
21980,55,2,1,1,0,1,0,0,4,3,2,999,0,0,1.4,93.444,-36.1,4.963,1,22238,1
7436,30,4,1,5,0,1,0,1,3,4,3,999,0,0,1.1,93.994,-36.4,4.864,1,7551,1
31465,29,4,0,5,0,1,1,0,3,3,10,999,0,0,-1.8,92.893,-46.2,1.266,1,34300,1
28759,18,6,0,3,0,1,1,0,1,3,2,999,0,0,-1.8,93.075,-47.1,1.365,1,30349,1
16291,30,8,1,0,0,1,0,0,2,1,1,999,0,0,1.4,93.918,-42.7,4.963,1,16500,1
12805,35,5,1,4,0,0,0,0,2,2,2,999,0,0,1.4,93.918,-42.7,4.962,1,12995,1
9894,39,0,1,0,0,1,0,1,5,3,1,999,0,0,1.4,94.465,-41.8,4.958,1,10041,1
4151,53,2,2,1,0,0,0,1,3,2,1,999,0,0,1.1,93.994,-36.4,4.856,1,4229,1
35275,34,0,0,0,0,0,1,0,6,2,1,999,0,0,-1.8,93.369,-34.8,0.652,0,39223,1
32072,58,3,1,4,0,1,0,0,3,4,4,999,0,0,-1.8,92.893,-46.2,1.25,1,35162,1
27125,34,0,0,5,0,0,0,0,1,2,1,999,0,0,-1.8,93.075,-47.1,1.453,1,28185,1
19721,46,3,1,4,0,0,0,0,4,4,3,999,0,0,1.4,93.444,-36.1,4.966,1,19966,1
29354,27,6,0,0,0,0,0,0,3,1,1,999,0,0,-1.8,92.893,-46.2,1.334,1,31155,1
19580,44,0,0,0,0,0,0,0,4,4,2,999,0,0,1.4,93.444,-36.1,4.966,1,19823,1
9687,47,8,1,0,0,1,0,1,5,1,1,999,0,0,1.4,94.465,-41.8,4.959,1,9831,1
32909,33,0,1,0,0,1,0,0,5,0,1,999,0,0,-2.9,92.963,-40.8,1.266,1,36238,1
5016,28,2,2,0,0,0,0,1,3,4,2,999,0,0,1.1,93.994,-36.4,4.857,1,5103,1
1457,37,3,1,1,0,1,0,1,3,3,3,999,0,0,1.1,93.994,-36.4,4.855,1,1491,1
19283,31,0,2,0,0,1,0,0,4,3,1,999,0,0,1.4,93.444,-36.1,4.968,1,19524,1
27442,25,6,0,5,0,0,0,1,1,1,1,999,0,0,-1.8,93.075,-47.1,1.415,0,28601,1
10417,34,0,0,5,0,0,0,1,5,2,1,999,0,0,1.4,94.465,-41.8,4.961,1,10572,1
32145,49,5,2,4,0,1,0,0,3,4,2,999,0,0,-1.8,92.893,-46.2,1.25,1,35267,1
32624,59,1,0,0,0,1,0,1,3,4,3,999,0,0,-1.8,92.893,-46.2,1.259,1,35894,1
7602,41,2,1,1,0,0,0,1,3,4,2,999,0,0,1.1,93.994,-36.4,4.864,1,7718,1
34555,35,2,1,0,0,1,0,0,0,1,1,999,0,0,-3.4,92.431,-26.9,0.742,1,38294,1
9760,41,3,1,2,0,1,0,1,5,1,4,999,0,0,1.4,94.465,-41.8,4.959,1,9905,1
16296,32,2,1,1,0,0,1,0,2,1,1,999,0,0,1.4,93.918,-42.7,4.963,1,16505,1
22366,42,5,1,5,0,0,0,0,4,4,3,999,0,0,1.4,93.444,-36.1,4.964,1,22628,1
3672,31,0,1,0,0,1,0,1,3,4,2,999,0,0,1.1,93.994,-36.4,4.859,1,3743,1
25278,58,8,1,0,0,1,0,0,8,1,2,999,0,0,-0.1,93.2,-42.0,4.12,1,25947,1
13475,33,1,1,4,0,1,0,0,2,3,1,999,0,0,1.4,93.918,-42.7,4.963,1,13671,1
23700,50,0,1,4,0,0,0,0,4,4,3,999,0,0,1.4,93.444,-36.1,4.963,1,23975,1
